time,id,g,e,m,b
132,23,0.0,A,0,1
132,24,0.010000000000000002,a,0,0
132,25,0.0,A,0,1
132,26,0.010000000000000002,a,0,0
132,27,0.0,A,0,1
132,28,0.0,A,0,0
132,29,0.0,A,0,0
132,30,0.0,A,0,1
132,31,0.0,A,0,1
132,32,0.0,A,0,0
132,33,0.21000000000000002,A,0,0
132,34,0.0,a,0,1
132,35,0.0,A,0,0
132,36,0.9,a,1,0
132,37,0.020000000000000004,a,0,0
132,38,0.0,A,0,1
132,39,0.0,A,0,1
132,40,0.010000000000000002,a,0,1
132,41,0.0,A,0,0
132,42,0.0,A,0,0
132,43,0.0,A,0,0
132,44,1.0,A,1,0
132,45,1.0,A,1,0
132,46,0.0,A,0,0
132,47,0.0,A,0,1
132,48,0.0,A,0,0
132,49,0.0,A,0,0
132,50,0.0,a,0,1
132,51,0.0,a,0,1
132,52,0.032100000000000004,a,0,0
132,53,0.0,A,0,1
132,54,0.0,A,0,1
132,55,0.0,A,0,1
132,56,0.0,A,0,1
132,57,0.0,a,0,1
132,58,0.0,a,0,0
132,59,0.12000000000000002,A,0,0
132,60,0.010000000000000002,a,0,1
132,61,0.0,A,0,1
132,62,0.0,A,0,1
132,63,0.010000000000000002,a,0,1
132,64,0.0,a,0,1
132,65,0.010000000000000002,a,0,1
132,66,0.0,A,0,0
132,67,0.0,A,0,0
132,68,0.0,A,0,1
132,69,0.0,a,0,1
132,70,0.0,a,0,1
132,71,0.0,a,0,1
132,72,0.0,A,0,1
132,73,0.0,A,0,0
132,74,0.011000000000000003,a,0,1
132,75,0.0,A,0,0
132,76,0.0,A,0,0
132,77,0.0,A,0,1
132,78,0.010000000000000002,a,0,0
132,79,0.0,A,0,1
132,80,0.0,a,0,0
132,81,0.0,A,0,0
132,82,0.0,A,0,0
132,83,0.010000000000000009,A,0,0
132,84,0.0,A,0,1
132,85,0.0,A,0,1
132,86,0.0,A,0,1
132,87,0.0,A,0,0
132,88,0.13100000000000003,A,0,0
132,89,0.1,A,0,0
132,90,0.0,A,0,0
132,91,0.0,A,0,0
132,92,0.0,A,0,1
132,93,0.0,a,0,1
132,94,0.0,A,0,1
132,95,0.0,A,0,1
132,96,0.0,A,0,1
132,97,0.0,A,0,1
132,98,0.0,A,0,1
132,99,0.8,a,0,0
132,100,0.0,A,0,0
133,1,0.0,a,0,0
133,2,0.0,A,0,0
133,3,0.0,A,0,1
133,4,0.0,A,0,0
133,5,0.0,A,0,1
133,6,0.0,a,0,0
133,7,0.0,A,0,0
133,8,0.8814200000000003,a,1,0
133,9,0.0,A,0,0
133,10,0.7259999999999999,A,0,0
133,11,0.0,a,0,1
133,12,0.0,A,0,0
133,13,0.011000000000000003,a,0,0
133,14,0.0,a,0,1
133,15,0.38010800000000045,A,0,0
133,16,0.0,A,0,0
133,17,0.0,a,0,1
133,18,0.0,A,0,1
133,19,0.0,A,0,1
133,20,0.0,A,0,0
133,21,0.21000000000000002,A,0,0
133,22,0.0,A,0,1
133,23,0.0,A,0,1
133,24,0.010000000000000002,a,0,0
133,25,0.0,A,0,1
133,26,0.0,a,0,0
133,27,0.0,A,0,1
133,28,0.0,A,0,0
133,29,0.0,A,0,0
133,30,0.0,A,0,1
133,31,0.0,A,0,1
133,32,0.11000000000000001,A,0,0
133,33,0.31000000000000005,A,0,0
133,34,0.0,a,0,1
133,35,0.0,A,0,0
133,36,0.81,a,1,0
133,37,0.0,a,0,0
133,38,0.0,A,0,1
133,39,0.0,A,0,1
133,40,0.0,a,0,1
133,41,0.0,A,0,0
133,42,0.0,A,0,0
133,43,0.0,A,0,0
133,44,0.9,A,1,0
133,45,1.0,A,1,0
133,46,0.0,A,0,0
133,47,0.0,A,0,1
133,48,0.0,A,0,0
133,49,0.0,A,0,0
133,50,0.0,a,0,1
133,51,0.0,a,0,1
133,52,0.04531,a,0,0
133,53,0.0,A,0,1
133,54,0.0,A,0,1
133,55,0.0,A,0,1
133,56,0.0,A,0,1
133,57,0.010000000000000002,a,0,1
133,58,0.0,a,0,0
133,59,0.020000000000000018,A,0,0
133,60,0.022000000000000006,a,0,1
133,61,0.0,A,0,1
133,62,0.0,A,0,1
133,63,0.0,a,0,1
133,64,0.010000000000000002,a,0,1
133,65,0.020000000000000004,a,0,1
133,66,0.0,A,0,0
133,67,0.1,A,0,0
133,68,0.0,A,0,1
133,69,0.010000000000000002,a,0,1
133,70,0.011000000000000003,a,0,1
133,71,0.0,a,0,1
133,72,0.1,A,0,1
133,73,0.11000000000000001,A,0,0
133,74,0.0,a,0,1
133,75,0.0,A,0,0
133,76,0.0,A,0,0
133,77,0.0,A,0,1
133,78,0.0,a,0,0
133,79,0.0,A,0,1
133,80,0.0,a,0,0
133,81,0.0,A,0,0
133,82,0.0,A,0,0
133,83,0.1,A,0,0
133,84,0.0,A,0,1
133,85,0.0,A,0,1
133,86,0.0,A,0,1
133,87,0.0,A,0,0
133,88,0.031000000000000028,A,0,0
133,89,0.0,A,0,0
133,90,0.1,A,0,0
133,91,0.0,A,0,0
133,92,0.0,A,0,1
133,93,0.0,a,0,1
133,94,0.0,A,0,1
133,95,0.0,A,0,1
133,96,0.1,A,0,1
133,97,0.0,A,0,1
133,98,0.1,A,0,1
133,99,0.7800000000000001,a,0,0
133,100,0.0,A,0,0
134,1,0.010000000000000002,a,0,0
134,2,0.0,A,0,0
134,3,0.0,A,0,1
134,4,0.1,A,0,0
134,5,0.0,A,0,1
134,6,0.0,a,0,0
134,7,0.0,A,0,0
134,8,0.7814200000000003,a,0,0
134,9,0.0,A,0,0
134,10,0.7885999999999999,A,0,0
134,11,0.010000000000000002,a,0,1
134,12,0.0,A,0,0
134,13,0.0,a,0,0
134,14,0.0,a,0,1
134,15,0.3181188000000005,A,0,0
134,16,0.0,A,0,0
134,17,0.010000000000000002,a,0,1
134,18,0.1,A,0,1
134,19,0.0,A,0,1
134,20,0.0,A,0,0
134,21,0.31000000000000005,A,0,0
134,22,0.1,A,0,1
134,23,0.0,A,0,1
134,24,0.010000000000000002,a,0,0
134,25,0.0,A,0,1
134,26,0.011000000000000003,a,0,0
134,27,0.0,A,0,1
134,28,0.1,A,0,0
134,29,0.0,A,0,0
134,30,0.0,A,0,1
134,31,0.0,A,0,1
134,32,0.010000000000000009,A,0,0
134,33,0.21000000000000005,A,0,0
134,34,0.0,a,0,1
134,35,0.0,A,0,0
134,36,0.8200000000000001,a,1,0
134,37,0.0,a,0,0
134,38,0.0,A,0,1
134,39,0.0,A,0,1
134,40,0.010000000000000002,a,0,1
134,41,0.0,A,0,0
134,42,0.0,A,0,0
134,43,0.0,A,0,0
134,44,0.8800000000000001,A,0,0
134,45,1.0,A,1,0
134,46,0.0,A,0,0
134,47,0.0,A,0,1
134,48,0.0,A,0,0
134,49,0.0,A,0,0
134,50,0.010000000000000002,a,0,1
134,51,0.0,a,0,1
134,52,0.0,a,0,0
134,53,0.0,A,0,1
134,54,0.0,A,0,1
134,55,0.0,A,0,1
134,56,0.0,A,0,1
134,57,0.0,a,0,1
134,58,0.0,a,0,0
134,59,0.0,A,0,0
134,60,0.03200000000000001,a,0,1
134,61,0.0,A,0,1
134,62,0.0,A,0,1
134,63,0.011000000000000003,a,0,1
134,64,0.020000000000000004,a,0,1
134,65,0.0,a,0,1
134,66,0.0,A,0,0
134,67,0.0,A,0,0
134,68,0.0,A,0,1
134,69,0.010000000000000002,a,0,1
134,70,0.0,a,0,1
134,71,0.0,a,0,1
134,72,0.0,A,0,1
134,73,0.11000000000000001,A,0,0
134,74,0.0,a,0,1
134,75,0.0,A,0,0
134,76,0.0,A,0,0
134,77,0.0,A,0,1
134,78,0.010000000000000002,a,0,0
134,79,0.0,A,0,1
134,80,0.0,a,0,0
134,81,0.0,A,0,0
134,82,0.0,A,0,0
134,83,0.0,A,0,0
134,84,0.0,A,0,1
134,85,0.0,A,0,1
134,86,0.0,A,0,1
134,87,0.0,A,0,0
134,88,0.1,A,0,0
134,89,0.0,A,0,0
134,90,0.12000000000000002,A,0,0
134,91,0.0,A,0,0
134,92,0.0,A,0,1
134,93,0.011000000000000003,a,0,1
134,94,0.0,A,0,1
134,95,0.0,A,0,1
134,96,0.0,A,0,1
134,97,0.0,A,0,1
134,98,0.2,A,0,1
134,99,0.7900000000000001,a,0,0
134,100,0.0,A,0,0
135,1,0.021000000000000005,a,0,0
135,2,0.0,A,0,0
135,3,0.0,A,0,1
135,4,0.0,A,0,0
135,5,0.0,A,0,1
135,6,0.0,a,0,0
135,7,0.0,A,0,0
135,8,0.8695620000000004,a,1,0
135,9,0.0,A,0,0
135,10,0.8885999999999998,A,1,0
135,11,0.0,a,0,1
135,12,0.0,A,0,0
135,13,0.0,a,0,0
135,14,0.0,a,0,1
135,15,0.4499306800000006,A,0,0
135,16,0.0,A,0,0
135,17,0.010000000000000002,a,0,1
135,18,0.0,A,0,1
135,19,0.0,A,0,1
135,20,0.0,A,0,0
135,21,0.11000000000000004,A,0,0
135,22,0.0,A,0,1
135,23,0.0,A,0,1
135,24,0.010000000000000002,a,0,0
135,25,0.1,A,0,1
135,26,0.021000000000000005,a,0,0
135,27,0.1,A,0,1
135,28,0.1,A,0,0
135,29,0.0,A,0,0
135,30,0.0,A,0,1
135,31,0.0,A,0,1
135,32,0.0,A,0,0
135,33,0.010000000000000037,A,0,0
135,34,0.0,a,0,1
